07 Apr 12:39:09,119 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:39:14,452 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:39:19,803 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:39:25,084 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:39:41,116 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:39:46,363 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:39:51,650 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:39:59,790 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:40:11,109 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:40:18,274 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:40:25,405 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:40:28,603 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:40:31,777 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:40:32,019 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:40:32,185 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:40:37,437 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:40:42,808 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:40:48,051 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:40:55,165 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:40:59,385 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:41:06,804 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:41:13,932 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:41:14,108 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:41:14,252 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:41:14,402 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:41:14,575 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:41:19,822 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:41:26,999 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:41:29,307 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:41:34,435 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:41:36,695 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:41:36,941 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:41:42,260 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:41:44,484 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:41:51,599 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:41:53,816 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:42:02,982 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:42:25,620 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:42:33,785 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:42:56,382 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:04,497 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:04,765 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:04,909 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:05,062 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:08,240 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:13,369 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:20,463 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:20,517 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:20,526 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:28,724 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:33,877 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:34,023 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:39,148 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:39,398 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:44,522 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:44,701 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:49,832 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:50,012 INFO - resultDir = results\CHROME-windows 7-local 
